colorfulness,sharpness,total_clip,saturation,noise,contrast,color_temp,ranking
48.1061,7.6879,1.3304,40.6535,0.3767,42.5743,6072.9499,0.0089
30.0216,4.0654,1.2001,59.2036,0.5846,60.4615,5325.7305,0.0286
75.5326,2.8140,2.9364,99.5336,0.1936,79.5453,2637.4657,0.0182
31.4735,2.3970,1.0386,41.4306,0.0927,45.4639,5396.8311,0.0105
15.8797,1.0329,64.2538,5.9009,0.0000,25.4793,6240.1579,0.0095
47.7584,7.9449,1.2854,114.5996,1.0661,56.8258,2898.3594,0.0156
52.0435,6.4412,46.1011,37.2775,0.0000,97.9742,4817.3256,0.0103
31.9557,5.3504,1.0527,59.4987,0.4445,69.6569,6036.5529,0.0062
25.2715,2.9656,1.0025,47.5450,0.0182,48.1321,5497.4231,0.0147
34.6781,6.1186,22.6880,29.6605,0.0927,59.2738,6454.1401,0.0210
50.2875,6.1572,1.3116,79.2068,0.5207,67.4855,3579.0279,0.0153
34.1978,8.7828,1.2196,45.4177,0.1312,78.3057,4726.8142,0.0279
19.3597,3.4954,1.0021,49.4824,0.5350,37.4518,5289.5053,0.0255
51.4891,3.9267,4.9279,119.6452,0.0000,18.7505,4168.4806,0.0047
137.7385,4.9221,9.9728,194.5538,0.6751,51.2534,1531.6846,0.0236
46.1836,11.9462,1.4898,44.0699,0.2156,66.4715,6140.4772,0.0223
44.6521,11.9082,2.1683,92.0826,1.6397,80.5619,5692.3698,0.0063
92.2904,12.0942,2.0086,188.9724,2.9937,45.6983,257.5935,0.0148
52.4186,6.6684,46.8968,49.1903,0.0000,80.4076,5609.2910,0.0124
128.6304,4.4211,4.4603,136.9339,0.5620,57.0430,2597.0882,0.0195
25.1891,4.5305,72.0014,19.7886,0.0000,82.0374,4499.0193,0.0237
16.6875,2.8114,1.0121,14.0047,0.0000,48.6640,6430.9982,0.0032
62.4313,6.3016,2.1518,68.4363,1.0887,81.8217,5317.9761,0.0039
25.3847,8.2933,71.2512,23.3747,0.0000,76.9831,5216.7214,0.0099
52.3617,33.4665,20.4297,48.7431,6.1740,114.3781,5276.1489,0.0112
21.9779,4.7865,1.6850,77.3139,0.4964,59.4715,4317.3007,0.0418
50.6541,3.3846,1.3320,123.8276,0.3850,36.6696,2799.7144,0.0157
33.7562,11.6701,1.7172,80.6797,2.1737,56.6791,4317.3296,0.0163
5.7781,7.8927,71.9567,7.3286,0.0000,80.1010,6545.3470,0.0082
10.9147,26.1795,2.2428,23.9220,0.3627,62.3179,7452.9066,0.0032
55.5105,9.8615,2.2668,99.4347,2.1864,57.2135,2972.6717,0.0132
64.0161,6.3193,1.2213,174.9115,0.6216,56.9620,1441.8827,0.0124
59.5831,5.1850,19.5212,124.4756,0.5229,92.1520,1188.5949,0.0087
47.0121,5.7538,1.1854,77.5275,0.4407,68.5563,3911.8988,0.0149
3.3707,30.9823,3.1697,20.3308,9.6000,77.8325,6499.8782,0.0048
79.7103,12.8561,12.6177,123.3115,1.3855,57.5839,4118.6209,0.0108
50.2567,2.8004,1.1324,85.1654,0.0226,68.8732,4352.0774,0.0088
35.1347,6.2548,1.0316,76.9036,1.0645,61.1558,4689.5286,0.0123
48.0876,2.5831,32.5334,27.4163,0.0000,47.9794,6108.0549,0.0212
55.0312,4.2151,2.2681,97.7725,0.0739,48.1461,3787.3042,0.0134
46.6576,6.1062,1.5006,121.7866,0.8693,65.4432,2673.3166,0.0140
120.7513,3.5115,2.5214,204.8704,0.1544,50.8600,390.1830,0.0071
58.5810,10.3607,1.0353,89.1415,1.1594,76.7275,3764.5810,0.0130
1.6110,3.3009,45.8393,3.3526,0.0000,41.7388,6585.3826,0.0223
67.7292,3.4360,3.3064,105.3687,0.3850,74.3161,3278.6637,0.0089
24.3222,3.4770,84.7151,10.2956,0.0000,39.8876,6383.2602,0.0208
16.7285,9.0973,1.4843,49.6478,0.7799,76.7812,7802.9722,0.0140
34.9323,7.4171,1.6634,78.3195,0.5311,71.2133,4888.7881,0.0139
59.3343,6.3953,1.5146,106.9385,0.9702,72.5823,3779.2911,0.0151
42.4684,5.7242,3.2948,42.9751,0.5168,104.6890,6197.1780,0.0144
29.2369,2.6267,1.1003,57.0401,0.2328,80.6710,5877.7178,0.0060
44.8764,2.8814,1.0523,56.2471,0.1914,44.7604,6197.4434,0.0115
57.0547,7.2465,1.2526,113.5672,0.5929,68.9055,8386.4906,0.0168
23.6101,4.5189,1.4328,79.3189,0.4219,80.0416,7050.4389,0.0097
46.4314,5.7897,1.0015,174.1404,0.6729,49.4006,9154.9267,0.0270
30.2386,8.4390,1.0010,94.2385,1.5184,56.4908,3842.5142,0.0276
29.2716,8.5584,1.0020,61.2617,1.1655,52.1681,5199.2321,0.0200
32.6729,6.1640,1.0116,115.5604,0.5830,55.8620,4263.2923,0.0142
25.3809,6.7189,1.6093,51.2074,0.8069,53.7371,5510.9918,0.0250
22.5366,4.2953,1.1329,98.6434,0.3375,77.3663,4244.9137,0.0177
73.3760,8.4727,2.1323,52.8064,0.3305,68.0215,6423.8208,0.0091
26.5734,7.6785,1.8482,46.4551,0.0000,84.9907,4090.8610,0.0029
137.7948,2.0336,2.8981,148.6853,0.0083,59.6569,5764.3905,0.0065
104.9774,4.3949,2.6105,224.1968,0.0000,38.3739,-138.3238,0.0063
81.2769,4.5550,2.3205,134.9493,0.4137,39.3967,7346.3494,0.0060
125.2040,8.1490,6.7210,124.8736,0.7595,57.2455,224.7952,0.0047
45.7345,5.9310,1.0133,56.9302,0.6012,66.9509,5442.7251,0.0236
55.1524,8.8128,51.9403,52.1800,0.0701,73.5214,3632.9617,0.0080
17.0356,7.3187,1.2199,34.3116,0.1095,76.4034,7505.8351,0.0127
65.9173,3.2476,2.9134,110.0885,0.0557,62.3467,5741.5236,0.0084
79.6688,8.8412,1.9265,77.0872,0.6117,60.7563,5837.4289,0.0071
26.7658,14.3689,1.0217,58.7038,2.2376,64.1229,5120.6362,0.0128
62.3613,12.9302,3.3997,102.2980,1.1263,67.0766,7023.6160,0.0173
53.5538,14.2929,1.3114,120.7973,1.0744,57.9857,3776.2403,0.0431
92.1975,8.0510,2.0452,191.7599,0.4589,60.1773,3865.4878,0.0063
52.3087,5.1418,1.0370,139.6813,0.3850,51.0711,3052.2225,0.0169
18.9459,6.1923,2.4412,53.5978,0.4264,54.4180,4889.4961,0.0176
57.7174,5.9972,1.4057,129.7047,0.6442,73.4171,4445.1827,0.0206
72.7201,10.8564,2.0157,107.5155,0.8273,64.9069,7858.9057,0.0387
38.1543,9.9151,2.3877,58.3007,0.6894,90.0439,8515.8762,0.0561
